"num","Year","Cases","Canton","Month"
"547",2005,426,"Siquirres",9
"548",2005,289,"Siquirres",10
"549",2005,94,"Siquirres",11
"550",2005,53,"Siquirres",12
"551",2006,18,"Siquirres",1
"552",2006,18,"Siquirres",2
"553",2006,18,"Siquirres",3
"554",2006,9,"Siquirres",4
"555",2006,6,"Siquirres",5
"556",2006,26,"Siquirres",6
"557",2006,62,"Siquirres",7
"558",2006,13,"Siquirres",8
"559",2006,2,"Siquirres",9
"560",2006,3,"Siquirres",10
"561",2006,4,"Siquirres",11
"562",2006,9,"Siquirres",12
"563",2007,70,"Siquirres",1
"564",2007,60,"Siquirres",2
"565",2007,26,"Siquirres",3
"566",2007,49,"Siquirres",4
"567",2007,69,"Siquirres",5
"568",2007,186,"Siquirres",6
"569",2007,316,"Siquirres",7
"570",2007,132,"Siquirres",8
"571",2007,93,"Siquirres",9
"572",2007,57,"Siquirres",10
"573",2007,45,"Siquirres",11
"574",2007,30,"Siquirres",12
"575",2008,14,"Siquirres",12
"576",2008,14,"Siquirres",1
"577",2008,19,"Siquirres",2
"578",2008,27,"Siquirres",3
"579",2008,29,"Siquirres",4
"580",2008,22,"Siquirres",5
"581",2008,49,"Siquirres",6
"582",2008,67,"Siquirres",7
"583",2008,46,"Siquirres",8
"584",2008,15,"Siquirres",9
"585",2008,4,"Siquirres",10
"586",2008,4,"Siquirres",11
"587",2009,2,"Siquirres",1
"588",2009,3,"Siquirres",2
"589",2009,0,"Siquirres",3
"590",2009,3,"Siquirres",4
"591",2009,1,"Siquirres",5
"592",2009,4,"Siquirres",6
"593",2009,5,"Siquirres",7
"594",2009,6,"Siquirres",8
"595",2009,2,"Siquirres",9
"596",2009,1,"Siquirres",10
"597",2009,1,"Siquirres",11
"598",2009,0,"Siquirres",12
"599",2010,0,"Siquirres",1
"600",2010,0,"Siquirres",2
"601",2010,0,"Siquirres",3
"602",2010,0,"Siquirres",4
"603",2010,1,"Siquirres",5
"604",2010,0,"Siquirres",6
"605",2010,10,"Siquirres",7
"606",2010,40,"Siquirres",8
"607",2010,120,"Siquirres",9
"608",2010,130,"Siquirres",10
"609",2010,171,"Siquirres",11
"610",2010,43,"Siquirres",12
"611",2011,41,"Siquirres",1
"612",2011,8,"Siquirres",2
"613",2011,3,"Siquirres",3
"614",2011,18,"Siquirres",4
"615",2011,45,"Siquirres",5
"616",2011,107,"Siquirres",6
"617",2011,201,"Siquirres",7
"618",2011,468,"Siquirres",8
"619",2011,476,"Siquirres",9
"620",2011,411,"Siquirres",10
"621",2011,185,"Siquirres",11
"622",2011,38,"Siquirres",12
"623",2012,55,"Siquirres",1
"624",2012,17,"Siquirres",2
"625",2012,5,"Siquirres",3
"626",2012,14,"Siquirres",4
"627",2012,15,"Siquirres",5
"628",2012,12,"Siquirres",6
"629",2012,21,"Siquirres",7
"630",2012,21,"Siquirres",8
"631",2012,53,"Siquirres",9
"632",2012,53,"Siquirres",10
"633",2012,48,"Siquirres",11
"634",2012,20,"Siquirres",12
"635",2013,30,"Siquirres",12
"636",2013,60,"Siquirres",1
"637",2013,50,"Siquirres",2
"638",2013,52,"Siquirres",3
"639",2013,127,"Siquirres",4
"640",2013,216,"Siquirres",5
"641",2013,243,"Siquirres",6
"642",2013,474,"Siquirres",7
"643",2013,497,"Siquirres",8
"644",2013,313,"Siquirres",9
"645",2013,61,"Siquirres",10
"646",2013,29,"Siquirres",11
"647",2014,9,"Siquirres",12
"648",2014,14,"Siquirres",1
"649",2014,15,"Siquirres",2
"650",2014,14,"Siquirres",3
"651",2014,15,"Siquirres",4
"652",2014,32,"Siquirres",5
"653",2014,58,"Siquirres",6
"654",2014,51,"Siquirres",7
"655",2014,44,"Siquirres",8
"656",2014,12,"Siquirres",9
"657",2014,7,"Siquirres",10
"658",2014,2,"Siquirres",11
"659",2015,1,"Siquirres",1
"660",2015,2,"Siquirres",2
"661",2015,1,"Siquirres",3
"662",2015,1,"Siquirres",4
"663",2015,1,"Siquirres",5
"664",2015,3,"Siquirres",6
"665",2015,0,"Siquirres",7
"666",2015,1,"Siquirres",8
"667",2015,2,"Siquirres",9
"668",2015,4,"Siquirres",10
"669",2015,6,"Siquirres",11
"670",2015,4,"Siquirres",12
"671",2016,9,"Siquirres",1
"672",2016,11,"Siquirres",2
"673",2016,5,"Siquirres",3
"674",2016,3,"Siquirres",4
"675",2016,17,"Siquirres",5
"676",2016,26,"Siquirres",6
"677",2016,49,"Siquirres",7
"678",2016,43,"Siquirres",8
"679",2016,48,"Siquirres",9
"680",2016,45,"Siquirres",10
"681",2016,36,"Siquirres",11
"682",2016,42,"Siquirres",12
"683",2017,38,"Siquirres",1
"684",2017,22,"Siquirres",2
"685",2017,11,"Siquirres",3
"686",2017,10,"Siquirres",4
"687",2017,23,"Siquirres",5
"688",2017,38,"Siquirres",6
"689",2017,61,"Siquirres",7
"690",2017,42,"Siquirres",8
"691",2017,43,"Siquirres",9
"692",2017,27,"Siquirres",10
"693",2017,8,"Siquirres",11
"694",2017,9,"Siquirres",12
"695",2018,12,"Siquirres",1
"696",2018,5,"Siquirres",2
"697",2018,7,"Siquirres",3
"698",2018,5,"Siquirres",4
"699",2018,12,"Siquirres",5
"700",2018,13,"Siquirres",6
"701",2018,11,"Siquirres",7
"702",2018,8,"Siquirres",8
"703",2018,10,"Siquirres",9
"704",2018,12,"Siquirres",10
"705",2018,8,"Siquirres",11
"706",2018,6,"Siquirres",12
"707",2019,0,"Siquirres",12
"708",2019,8,"Siquirres",1
"709",2019,2,"Siquirres",2
"710",2019,5,"Siquirres",3
"711",2019,7,"Siquirres",4
"712",2019,4,"Siquirres",5
"713",2019,16,"Siquirres",6
"714",2019,25,"Siquirres",7
"715",2019,8,"Siquirres",8
"716",2019,35,"Siquirres",9
"717",2019,13,"Siquirres",10
"718",2000,2,"Talamanca",1
"719",2000,0,"Talamanca",2
"720",2000,1,"Talamanca",3
"721",2000,0,"Talamanca",4
"722",2000,1,"Talamanca",5
"723",2000,1,"Talamanca",6
"724",2000,0,"Talamanca",7
"725",2000,0,"Talamanca",8
"726",2000,0,"Talamanca",9
"727",2000,0,"Talamanca",10
"728",2000,0,"Talamanca",11
"729",2000,0,"Talamanca",12
"730",2001,0,"Talamanca",1
"731",2001,0,"Talamanca",2
"732",2001,0,"Talamanca",3
"733",2001,0,"Talamanca",4
"734",2001,1,"Talamanca",5
"735",2001,0,"Talamanca",6
"736",2001,0,"Talamanca",7
"737",2001,2,"Talamanca",8
"738",2001,1,"Talamanca",9
"739",2001,3,"Talamanca",10
"740",2001,0,"Talamanca",11
"741",2001,0,"Talamanca",12
"742",2002,0,"Talamanca",12
"743",2002,0,"Talamanca",1
"744",2002,0,"Talamanca",2
"745",2002,0,"Talamanca",3
"746",2002,22,"Talamanca",4
"747",2002,9,"Talamanca",5
"748",2002,0,"Talamanca",6
"749",2002,0,"Talamanca",7
"750",2002,2,"Talamanca",8
"751",2002,2,"Talamanca",9
"752",2002,1,"Talamanca",10
"753",2002,1,"Talamanca",11
"754",2003,12,"Talamanca",12
"755",2003,0,"Talamanca",1
"756",2003,0,"Talamanca",2
"757",2003,2,"Talamanca",3
"758",2003,1,"Talamanca",4
"759",2003,0,"Talamanca",5
"760",2003,41,"Talamanca",6
"761",2003,31,"Talamanca",7
"762",2003,132,"Talamanca",8
"763",2003,28,"Talamanca",9
"764",2003,22,"Talamanca",10
"765",2003,8,"Talamanca",11
"766",2004,8,"Talamanca",1
"767",2004,17,"Talamanca",2
"768",2004,17,"Talamanca",3
